"","index","province","name","position","link"
"83",83,"福建","尤权","中央委员，省委书记，省人大主任","http://district.ce.cn/newarea/sddy/201611/28/t20161128_18191430.shtml"
"84",84,"福建","于伟国","中央候补委员，副书记、省长","http://district.ce.cn/newarea/sddy/201611/28/t20161128_18191430_1.shtml"
"85",85,"福建","张志南","常委、常务副省长","http://district.ce.cn/newarea/sddy/201611/28/t20161128_18191430_3.shtml"
"86",86,"福建","雷春美","中央候补委员，常委、统战部长","http://district.ce.cn/newarea/sddy/201611/28/t20161128_18191430_4.shtml"
"87",87,"福建","王宁","常委、福州市委书记","http://district.ce.cn/newarea/sddy/201707/27/t20170727_24500471_1.shtml"
"88",88,"福建","高翔","常委、宣传部长","http://district.ce.cn/newarea/sddy/201611/28/t20161128_18191430_7.shtml"
"89",89,"福建","胡昌升","常委、组织部长","http://district.ce.cn/newarea/sddy/201707/27/t20170727_24500471.shtml"
"90",90,"福建","刘学新","常委、省纪委书记","http://district.ce.cn/newarea/sddy/201611/28/t20161128_18191430_8.shtml"
"91",91,"福建","裴金佳","常委，厦门市委书记","http://district.ce.cn/newarea/sddy/201611/28/t20161128_18191430_9.shtml"
"92",92,"福建","梁建勇","常委、省委秘书长","http://district.ce.cn/newarea/sddy/201701/22/t20170122_19792485_1.shtml"
"93",93,"福建","周联清","常委、副省长","http://district.ce.cn/newarea/sddy/201611/28/t20161128_18191430_11.shtml"
"94",94,"福建","王洪祥","常委、政法委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201704/07/t20170407_21781952.shtml"
"95",95,"江西","刘奇<U+00A0>","副书记、省长<U+00A0>","http://district.ce.cn/newarea/sddy/201611/16/t20161116_17876240_1.shtml"
"96",96,"江西","毛伟明","常委、常务副省长","http://district.ce.cn/newarea/sddy/201611/16/t20161116_17876240_6.shtml"
"97",97,"江西","谢茹","副省长","http://district.ce.cn/newarea/roll/201111/30/t20111130_22879986.shtml"
"98",98,"江西","李贻煌","副省长","http://district.ce.cn/newarea/sddy/201301/30/t20130130_24080255_1.shtml"
"99",99,"江西","郑为文","副省长，省公安厅厅长、党委书记","http://district.ce.cn/newarea/sddy/201410/15/t20141015_3707605.shtml"
"100",100,"江西","李利<U+00A0>","副省长<U+00A0>","http://district.ce.cn/newarea/sddy/201612/15/t20161215_18728445.shtml"
"101",101,"江西","吴晓军","副省长、发改委主任","http://district.ce.cn/newarea/sddy/201703/21/t20170321_21231755.shtml"
"102",102,"江西","张勇","省政府秘书长","http://district.ce.cn/newarea/sddy/201503/26/t20150326_4944841.shtml"
"103",103,"江西","潘东军","党组成员、省监察厅厅长兼预防腐败局局长","http://district.ce.cn/newarea/sddy/201505/08/t20150508_5315360.shtml"
"104",104,"江西","陈兴超","常委、统战部部长","http://district.ce.cn/newarea/sddy/201701/23/t20170123_19821909_1.shtml"
"105",105,"江西","刘捷","常委、省委秘书长<U+00A0>","http://district.ce.cn/newarea/sddy/201611/18/t20161118_17941846.shtml"
"106",106,"江西","赵力平","常委、宣传部部长","http://district.ce.cn/newarea/sddy/201612/02/t20161202_18335053.shtml"
"107",107,"山东","龚正","副书记、省长","http://district.ce.cn/newarea/sddy/201706/19/t20170619_23697349.shtml"
"108",108,"山东","李群","中央候补委员，常委、常务副省长","http://district.ce.cn/newarea/sddy/201704/12/t20170412_21895773.shtml"
"109",109,"山东","王随莲","副省长<U+00A0>","http://district.ce.cn/newarea/sddy/201706/19/t20170619_23697349_2.shtml"
"110",110,"山东","王书坚","副省长<U+00A0>","http://district.ce.cn/newarea/sddy/201504/01/t20150401_4996976.shtml"
"111",111,"山东","季缃绮","副省长","http://district.ce.cn/newarea/sddy/201302/05/t20130205_24096920.shtml"
"112",112,"山东","孙立成","副省长、公安厅厅长<U+00A0>","http://district.ce.cn/newarea/sddy/201607/22/t20160722_14060774.shtml"
"113",113,"山东","于国安","副省长<U+00A0>","http://district.ce.cn/newarea/sddy/201707/29/t20170729_24600192.shtml"
"114",114,"山东","任爱荣","副省长<U+00A0>","http://district.ce.cn/newarea/sddy/201707/29/t20170729_24600192_1.shtml"
"115",115,"山东","王华","省政府秘书长","http://district.ce.cn/newarea/sddy/201707/21/t20170721_24351697_1.shtml"
"116",116,"山东","林峰海","常委、政法委书记","http://district.ce.cn/newarea/sddy/201708/08/t20170808_24867228_1.shtml"
"117",117,"山东","王浩","常委、烟台市委书记","http://district.ce.cn/newarea/sddy/201706/19/t20170619_23697349_11.shtml"
"118",118,"河南","谢伏瞻","中央委员，省委书记、省人大主任","http://district.ce.cn/newarea/sddy/201611/04/t20161104_17533146.shtml"
"119",119,"河南","翁杰明","中央候补委员，副书记、省长","http://district.ce.cn/newarea/sddy/201611/25/t20161125_18130274.shtml"
"120",120,"河南","王炯","副省长","http://district.ce.cn/newarea/sddy/201706/01/t20170601_23370690.shtml"
"121",121,"河南","翁杰明","副省长、农办主任","http://district.ce.cn/newarea/sddy/201611/25/t20161125_18130274.shtml"
"122",122,"河南","赵素萍","常委、宣传部长","http://district.ce.cn/newarea/sddy/201310/12/t20131012_1610089.shtml"
"123",123,"河南","任正晓","常委、省纪委书记","http://district.ce.cn/newarea/sddy/201611/04/t20161104_17533146_5.shtml"
"124",124,"河南","李亚","常委、洛阳市委书记","http://district.ce.cn/newarea/sddy/201701/09/t20170109_19487803.shtml"
"125",125,"河南","孔昌生","常委、组织部长","http://district.ce.cn/newarea/sddy/201702/21/t20170221_20376079.shtml"
"126",126,"河南","陶明伦","省政府秘书长","http://district.ce.cn/newarea/sddy/201611/04/t20161104_17533146_8.shtml"
"127",127,"河南","许甘露","常委、政法委书记","http://district.ce.cn/newarea/sddy/201707/28/t20170728_24560413_1.shtml"
"128",128,"河南","马懿","常委、郑州市委书记<U+00A0>","http://district.ce.cn/newarea/sddy/201611/04/t20161104_17533146_10.shtml"
"129",129,"河南","穆为民","常委、秘书长","http://district.ce.cn/newarea/sddy/201701/10/t20170110_19499338.shtml"
"130",130,"湖北","王晓东","副书记、省长","http://district.ce.cn/newarea/sddy/201707/18/t20170718_24274487_1.shtml"
"131",131,"湖北","黄楚平","副书记、省长<U+00A0>","http://district.ce.cn/newarea/sddy/201612/16/t20161216_18776518.shtml"
"132",132,"湖北","陈一新","副省长","http://district.ce.cn/newarea/sddy/201706/29/t20170629_23935292_2.shtml"
"133",133,"湖北","尔肯江·吐拉洪","中央候补委员，常委、统战部长<U+00A0>","http://district.ce.cn/newarea/sddy/201706/29/t20170629_23935292_3.shtml"
"134",134,"湖北","黄楚平","常委、常务副省长","http://district.ce.cn/newarea/sddy/201706/29/t20170629_23935292_4.shtml"
"135",135,"湖北","王艳玲","常委、宣传部长<U+00A0>","http://district.ce.cn/newarea/sddy/201706/29/t20170629_23935292_5.shtml"
"136",136,"湖北","于绍良","常委、组织部长<U+00A0>","http://district.ce.cn/newarea/sddy/201706/29/t20170629_23935292_6.shtml"
"137",137,"湖北","梁伟年","省政府秘书长","http://district.ce.cn/newarea/sddy/201706/29/t20170629_23935292_7.shtml"
